,credit,defaultTitle,defaultabstract
0,Null,Entraînement au combat aérien moyenne et basse altitude,"""<span><p>Zone utilisée par la ZAD Nord pour les entraînement au combat aérien moyenne et basse altitude.</p></span>"""
1,CEREMA,Périmètre de protection des SIC,"""<span><p>Zone de protection autour des SICs de la façade ouest.</p></span>"""
2,"['IFREMER', 'CHARM consortium']",Species and habitats - Pleuronectes platessa - Immature - CGFS annual abundance in October (1989-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
3,LIENSs - UMR 7266,Analyses statistiques de la zone tampon sur l'île d'Oléron,"""<span><p>statistiques_boites_ZT est une donnée synthétique, présentant les analyses spatiales et statistiques sur les zones tampons (systèmes dunaires) de l'île d'Oléron. Cette donnée a été réalisée par Morgan BOYER (M2 SPE 2014) dans le cadre du programme de recherche RISKS, sur 4 communes d'étude : Saint-Pierre-d'Oléron, Le Château-d'Oléron, Saint-Georges-d'Oléron et Saint-Trojan-les-Bains.</p></span>"""
4,"Ifremer, AREVAL",Suivi des crépidules en baie de Saint-Brieuc entre 2000 et 2005,"""<span><p>Suivi de l'expansion de la crépidule en baie de Saint-Brieuc :  Le programme de rattachement est le programme AREVAL (Projet d'exploitation de la crépidule en Bretagne Nord).\nL’AREVAL (Association pour la REcolte et la VALorisation de la crépidule en Bretagne Nord) a lancé un projet d’exploitation industrielle de l'espèce, consistant en une récolte par une drague aspiratrice et un traitement en usine du produit récolté, afin de le transformer en amendement calcaire.</p></span>"""
5,Producteurs de données : Université du Sud Toulon Var,Dénombrement taxinomique du phytoplancton dans la petite et grande rade de Toulon depuis 2003,"""<span><p>Série temporelle, depuis 1998, de la dynamique du phytoplancton dans la petite et grande rade de Toulon \nDénombrement et observation de la diversité (taxon) au microscope du phytoplancton (prélèvements bouteilles Nyskin)</p></span>"""
6,"Ifremer, Géosciences Marines, 2005",Carte des formations superficielles sous-marines aux abords de Flamanville (Manche) (données vecteurs),"""<span><p>Ce jeu de données provient de la digitalisation de la carte des formations superficielles sous-marines aux abords de Flamanville (édition 2005 ; échelle 1/15000).</p><p>Les campagnes océanographiques à l'origine de la réalisation de cette carte sont : Sonarman 1 en 1983, Flamenco Flamanville en 1984, Golfe en 1985 et Geobase 1 en 1987.</p></span>"""
7,"GLOBICE, 2011",2011 - Positions des observations des différentes espèces de cétacés autour de l'île de La Réunion en 2011,"""<span><p>Cartographie des positions des observations des différentes espèces de cétacés autour de l'île de La Réunion en 2011</p></span>"""
8,"[""Ifremer SIH (Système d'Informations Halieutiques)"", ""Direction des Pêches Maritimes et de l'Aquaculture""]","Quantité débarquée par les navires de pêche français en 2008, par groupe d'espèces et par trimestre","""<span><p>La quantité débarquée par les navires de pêche est exprimée en tonnes par rectangle statistique CIEM. Les espèces considérées sont uniquement celles susceptibles d'être impactées par l'extraction de granulats marins. La donnée est disponible ici pour l'année 2008 par groupe d'espèces (céphalopodes, coquillages, crustacés, espèces démersales et espèces benthiques) et par trimestre. Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
9,"['CEFAS', 'CHARM consortium']",Species and habitats - Gobiidae - All Ages - Presence Probability in March during Q1SW kriging error maps (2006-2011),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km2) and always required to be log-transformed using a log10(x+1) transformation)</p></span>"""
10,"['CEFAS', 'CHARM consortium']",Species and habitats - Scyliorhinus stellaris - All ages - Presence probability in July during BTS (1989-2010),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
11,Null,Survey 20 august 2010,"""<span><p>On land observation - 20 th august 2011. During a pollution, authorities systematically survey and document the affected area to provide a rapid and accurate geographic picture of shoreline oiling conditions. The information is used to develop real-time decisions regarding shoreline treatment and cleanup operations.</p></span>"""
12,Null,Récifs artificiels,"""<span><p>4 zones de récifs artificiels en Languedoc-Roussillon selon des arrêtés de 1985 et 2000</p></span>"""
13,"['CEFAS', 'CHARM consortium']",Species and habitats - Raja montagui - Mature Male - Multi-annual abundance Kriging error maps during BTS (1989 - 2010),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation. Abundance mean (mean) and standard deviation (st) have been calculated. The sum of the kriging error for each yearly kriged abundance fits to the kriging error (v).</p></span>"""
14,Extraplac SHOM Ifremer,Limite d'extension du plateau continental autour de Saint-Paul et Amsterdam,"""<span><p>Limite d'extension du plateau continental juridique de St-Paul et Amsterdam, soumis à la commission de l'ONU le 08 mai 2009.</p></span>"""
15,Null,Palangre - Effort de pêche,"""<span><p>Cette couche représente l'effort de pêche, au niveau de la pêche à la palangre, dans la zone Natura 2000 du Raz Barfleur. Les données présentées sont issues de la campagne de 2011</p></span>"""
16,REBENT,"Evaluation du taux de couverture et de la dynamique spatiale des Fucales en zone intertidale à partir d'imagerie SPOT : Morbihan, secteur Quiberon - Le Croisic, Image Spot du 29 mai 2003","""<span><p>L'image SPOT du 29 mai 2003, qui s'étend du sud de Quiberon au Croisic (Morbihan) a été traitée par le CEVA dans le cadre du REseau de surveillance BENThique (REBENT) en 2004 en vue du suivi de la couverture en Fucales des côtes bretonnes. Cette image a été acquise à une résolution de 20 m.\nLes résultats de ces traitements sont : </p><ul style=\""list-style: square\""><li>une cartographie de la couverture végétale en fucales dans la zone intertidale basée sur un indice de couverture végétale (VCI).</li><li>des comparaisons multi-dates basées sur le calcul de différentiel de VCI afin de mettre en évidence des variations spatio-temporelles du couvert végétal en fucales.</li></ul></span>"""
17,"[""Ifremer SIH (Système d'Informations Halieutiques)"", ""Direction des Pêches Maritimes et de l'Aquaculture""]","Quantité débarquée par les navires de pêche français en 2008, tous groupes d'espèces confondus","""<span><p>La quantité débarquée par les navires de pêche est exprimée en tonnes par rectangle statistique CIEM. Les espèces considérées sont uniquement celles susceptibles d'être impactées par l'extraction de granulats marins. La donnée est disponible ici pour l'année 2008 tous groupes d’espèces confondus (céphalopodes, coquillages, crustacés, espèces démersales et espèces benthiques). Cette donnée est une synthèse des quantités débarquées des navires de pêche en 2008 pour les espèces considérées et est calculée dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
18,"Ifremer, Géosciences Marines ; DRAC Normandie","Carte des formations sédimentaires superficielles de l'anse de la Mondée (Biéroc la Mondrée, 2014)","""<span><p>La carte des formations sédimentaires superficielles de l'anse de Bieroc-La Mondrée a été réalisée à partir des données d'imagerie acoustique (sondeur interférométrique de N/O Haliotis) et de données de prélèvements (mini-benne Ponar) acquis au cours de la campagne Bieroc-La Mondrée (Août 2014).</p></span>"""
19,"['IFREMER', 'CHARM consortium']",Species and habitats - Dicentrarchus labrax - All ages - Multi-annual abundance Kriging error maps during CGFS (1989-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation. Abundance mean (mean) and standard deviation (st) have been calculated. The sum of the kriging error for each yearly kriged abundance fits to the kriging error (v).</p></span>"""
